Nationality,Region,Educacional Level,Age,Ethnicity,Marital Status,Employment Status,How long have you been playing,Most played genre of video games,Amont of hours spent playing,How often do you play animal crossing,Favorite activity in the game
American,US/Canada,Graduate school and higher,30,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,2. Almost everyday,Planting trees/flowers
usa,US/Canada,Graduate school and higher,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost every week,4. Almost every week,Fishing
uk,EU,Graduate school and higher,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Catching bugs
uk,EU,Undergraduate school,30,Black or African American,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Planting trees/flowers
Vietnam,Asia,Graduate school and higher,31,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
America,US/Canada,Graduate school and higher,31,Hispanic or Latino,Married or domestic partnership,Employed for wages,1-2 years,"Action, Adventure, RPG",Every week,3. Every week,Terraforming
America,US/Canada,Undergraduate school,31,Hispanic or Latino,Married or domestic partnership,Employed for wages,1-2 years,"RPG, Strategy",Every week,3. Every week,Planting trees/flowers
usa,US/Canada,Undergraduate school,31,White,Married or domestic partnership,Out of work and looking for work,More than 3 years,"Action, Adventure",Almost everyday,4. Almost every week,Planting trees/flowers
United States,US/Canada,Undergraduate school,31,White,Married or domestic partnership,Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Strategy, Sports",Almost everyday,3. Every week,Terraforming
filipino,Asia,Graduate school and higher,31,Asian,Married or domestic partnership,Self-employed,More than 3 years,"Action, RPG, Strategy, Sports",Everyday,1. Everyday,Fishing
Filipino American,US/Canada,Undergraduate school,31,Pacific Islander,Married or domestic partnership,Self-employed,More than 3 years,Adventure,Everyday,1. Everyday,Collecting Fossils
American ,US/Canada,Undergraduate school,31,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,1. Everyday,Planting trees/flowers
Singaporean,Asia,High school,31,Asian,Married or domestic partnership,A homemaker,More than 3 years,"Adventure, RPG, Simulation",Almost every week,1. Everyday,"Talking with villagers, visiting friends islands"
Filipino,Asia,Graduate school and higher,31,Pacific Islander,"Single, never married",Employed for wages,More than 3 years,RPG,Everyday,1. Everyday,Fishing
American,US/Canada,Graduate school and higher,31,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, Simulation, Strategy, Puzzle",Almost everyday,1. Everyday,Planting trees/flowers
FILIPINO,Asia,Graduate school and higher,31,Asian,Divorced,Employed for wages,0-1 years,Adventure,Almost everyday,2. Almost everyday,Terraforming
Filipino,Asia,Graduate school and higher,31,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Fishing
usa,US/Canada,Graduate school and higher,31,Black or African American,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Terraforming
uk,EU,Graduate school and higher,31,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Fishing
American,US/Canada,Undergraduate school,32,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Terraforming
 United States,US/Canada,Undergraduate school,32,Hispanic or Latino,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3. Every week,Fishing
usa,US/Canada,Undergraduate school,32,Hispanic or Latino,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Fishing
uk,EU,High school,32,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Fishing
the United States ,US/Canada,Undergraduate school,32,Hispanic or Latino,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,Fishing
USA,US/Canada,Undergraduate school,32,White,Married or domestic partnership,Employed for wages,1-2 years,Adventure,Every week,4. Almost every week,Fishing
USA,US/Canada,Undergraduate school,32,White,Married or domestic partnership,Employed for wages,1-2 years,"Action, Simulation, Strategy",Every week,3. Every week,Fishing
uk,EU,Undergraduate school,32,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Planting trees/flowers
usa,US/Canada,Graduate school and higher,32,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3. Every week,Planting trees/flowers
usa,US/Canada,Graduate school and higher,32,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Planting trees/flowers
usa,US/Canada,Graduate school and higher,32,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Catching bugs
US,US/Canada,Graduate school and higher,32,White,Married or domestic partnership,Employed for wages,1-2 years,RPG,Almost every week,6. Less than every month,Planting trees/flowers
American,US/Canada,Undergraduate school,32,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Terraforming
British ,EU,Secondary school,32,White,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Fishing
Filipino,Asia,Graduate school and higher,32,Asian,"Single, never married",Employed for wages,1-2 years,RPG,Everyday,1. Everyday,Trading
American,US/Canada,Undergraduate school,32,Native American or American Indian,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG",Almost everyday,2. Almost everyday,Fishing
American,US/Canada,Graduate school and higher,32,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Decorating and designing
Filipino,Asia,Graduate school and higher,32,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Trading
US citizen,US/Canada,Undergraduate school,32,White,Married or domestic partnership,Self-employed,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Terraforming
Filipino,Asia,Undergraduate school,32,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Interacting with my villagers
English ,EU,Undergraduate school,32,White,"Single, never married",Unable to work,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,1. Everyday,Fishing
American ,US/Canada,Undergraduate school,32,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, Simulation, Strategy",Everyday,1. Everyday,Terraforming
Filipino,Asia,Graduate school and higher,32,Asian,Married or domestic partnership,Employed for wages,0-1 years,"Adventure, Simulation",Everyday,1. Everyday,Fishing
usa,US/Canada,Undergraduate school,32,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Fishing
usa,US/Canada,Undergraduate school,32,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Terraforming
usa,US/Canada,Undergraduate school,32,Hispanic or Latino,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Catching bugs
usa,US/Canada,Undergraduate school,32,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Catching bugs
usa,US/Canada,Undergraduate school,33,White,Married or domestic partnership,Employed for wages,,,Almost everyday,3. Every week,Catching bugs
USA,US/Canada,Undergraduate school,33,White,Married or domestic partnership,Self-employed,More than 3 years,"Adventure, RPG",Almost everyday,1. Everyday,Catching bugs
United States,US/Canada,Undergraduate school,33,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Almost everyday,3. Every week,Fishing
United States,US/Canada,Undergraduate school,33,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Almost everyday,3. Every week,Fishing
America,US/Canada,Undergraduate school,33,White,Married or domestic partnership,Employed for wages,2-3 years,"Adventure, RPG, Simulation, Strategy",Every week,3. Every week,Terraforming
USA,US/Canada,Undergraduate school,33,White,Married or domestic partnership,Self-employed,More than 3 years,"RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
America,US/Canada,Undergraduate school,33,Black or African American,Married or domestic partnership,Employed for wages,1-2 years,"Adventure, RPG, Simulation",Almost everyday,3. Every week,Terraforming
British,EU,Graduate school and higher,33,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, Simulation, Strategy",Almost everyday,1. Everyday,Terraforming
Filipino,Asia,Graduate school and higher,33,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,1. Everyday,Fishing
American,US/Canada,Undergraduate school,33,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG",Everyday,2. Almost everyday,Fishing
American,US/Canada,Undergraduate school,33,White,Married or domestic partnership,Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,1. Everyday,Fishing
American ,US/Canada,Undergraduate school,33,Other,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation, Strategy",Everyday,2. Almost everyday,Interacting with villagers
USA,US/Canada,Graduate school and higher,33,White,Married or domestic partnership,Self-employed,0-1 years,RPG,Every week,3. Every week,Shopping/cataloging
Filipino,Asia,Undergraduate school,33,Asian,Married or domestic partnership,Self-employed,More than 3 years,"Adventure, RPG, Strategy",Everyday,1. Everyday,Everything 
United States,US/Canada,Graduate school and higher,34,Hispanic or Latino,Married or domestic partnership,Employed for wages,2-3 years,"Action, RPG, Simulation, Strategy, Sports",Almost everyday,1. Everyday,Terraforming
usa,US/Canada,Graduate school and higher,34,Hispanic or Latino,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,1. Everyday,Catching bugs
29,Other,Graduate school and higher,34,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Planting trees/flowers
Dutch,EU,Graduate school and higher,34,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Everyday,1. Everyday,Fishing
Myanmar ,Asia,Graduate school and higher,34,Asian,"Single, never married",Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,Terraforming
British,EU,Undergraduate school,34,White,Married or domestic partnership,Self-employed,More than 3 years,RPG,Every week,2. Almost everyday,Planting trees/flowers
American ,US/Canada,Undergraduate school,34,White,Married or domestic partnership,Out of work but not currently looking for work,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,1. Everyday,Planting trees/flowers
American ,US/Canada,Undergraduate school,34,Native American or American Indian,"Single, never married",Unable to work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Mmo",Everyday,1. Everyday,Decorating areas
Irish,EU,Undergraduate school,34,White,Married or domestic partnership,Self-employed,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Fishing
usa,US/Canada,Graduate school and higher,34,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Planting trees/flowers
usa,US/Canada,Graduate school and higher,34,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Planting trees/flowers
usa,US/Canada,Graduate school and higher,34,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Fishing
uk,EU,Graduate school and higher,34,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3. Every week,Planting trees/flowers
usa,US/Canada,Undergraduate school,34,Black or African American,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Fishing
Vietnamese,Asia,Graduate school and higher,35,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,Planting trees/flowers
United States of American,US/Canada,Undergraduate school,35,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,2. Almost everyday,interacting with villagers 
America,US/Canada,Secondary school,35,Hispanic or Latino,Married or domestic partnership,Employed for wages,1-2 years,"Adventure, Simulation, Sports",Almost every week,4. Almost every week,Terraforming
British,EU,Undergraduate school,35,White,Married or domestic partnership,A homemaker,More than 3 years,Simulation,Everyday,1. Everyday,Shopping
American ,US/Canada,Undergraduate school,35,White,"Single, never married",Employed for wages,More than 3 years,RPG,Less than every month,1. Everyday,Planting trees/flowers
American,US/Canada,Undergraduate school,35,White,Married or domestic partnership,Employed for wages,More than 3 years,"RPG, Simulation, Puzzle",Everyday,1. Everyday,Planting trees/flowers
White American ,US/Canada,Graduate school and higher,35,White,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,"Buying things, finding diys to decorate"
American,US/Canada,High school,35,White,Married or domestic partnership,Employed for wages,More than 3 years,"RPG, First person shooter",Almost everyday,2. Almost everyday,Catching bugs
Filipino,Asia,Graduate school and higher,35,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG",Every month,1. Everyday,All of the above
Vietnamese,Asia,Undergraduate school,35,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Almost every week,1. Everyday,Terraforming
USA,US/Canada,Undergraduate school,35,White,Married or domestic partnership,Employed for wages,2-3 years,"Adventure, RPG, Strategy, Sports",Everyday,1. Everyday,Planting trees/flowers
American,US/Canada,High school,36,White,"Single, never married",Self-employed,More than 3 years,"Action, Adventure, RPG",Almost everyday,1. Everyday,Helping other players
Canadian,US/Canada,Undergraduate school,36,White,Married or domestic partnership,Out of work but not currently looking for work,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,Fishing
Mixed nationalities,Other,Graduate school and higher,36,Other,Separated,Employed for wages,More than 3 years,Animal crossing and the Sims since they came out,Less than every month,1. Everyday,having my sisters visit and creating hybrid flowers
American,US/Canada,Graduate school and higher,36,White,Divorced,Employed for wages,More than 3 years,RPG,Almost everyday,1. Everyday,Planting trees/flowers
Filipino,Asia,Graduate school and higher,36,Asian,Married or domestic partnership,Employed for wages,More than 3 years,Strategy,Everyday,1. Everyday,Planting trees/flowers
usa,US/Canada,Graduate school and higher,36,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Terraforming
Vietnamese,Asia,Graduate school and higher,37,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Strategy, Sports",Everyday,Not yet play,Not yet play
American,US/Canada,Graduate school and higher,37,Asian,Married or domestic partnership,Out of work and looking for work,More than 3 years,"Action, RPG, Strategy",Everyday,1. Everyday,Terraforming
"English, Irish, German",EU,Undergraduate school,37,White,Married or domestic partnership,Out of work but not currently looking for work,More than 3 years,"Adventure, RPG, Simulation, Puzzle",Almost everyday,1. Everyday,Fishing
USA,US/Canada,Graduate school and higher,37,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, Simulation, Sports",Everyday,1. Everyday,Fishing
United States ,US/Canada,Undergraduate school,38,White,Married or domestic partnership,Self-employed,More than 3 years,"Adventure, Simulation",Less than every month,1. Everyday,Making custom designs 
British,EU,Undergraduate school,38,White,Married or domestic partnership,Employed for wages,0-1 years,Simulation,Everyday,1. Everyday,Decorating island
British ,EU,Graduate school and higher,38,White,Married or domestic partnership,Employed for wages,More than 3 years,RPG,Almost everyday,1. Everyday,talking to the villagers
Filipino,Asia,Undergraduate school,38,Asian,Married or domestic partnership,Self-employed,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Time traveling
USA,US/Canada,Undergraduate school,38,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, Simulation, Sports",Everyday,1. Everyday,Catching bugs
usa,US/Canada,Graduate school and higher,38,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Planting trees/flowers
American,US/Canada,Undergraduate school,39,White,Married or domestic partnership,A homemaker,More than 3 years,"RPG, Simulation",Almost everyday,2. Almost everyday,Interacting with villagers 
Scottish,EU,Graduate school and higher,40,White,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,Collecting and decorating
American,US/Canada,Graduate school and higher,40,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Decorating/collecting decorations 
Canadian,US/Canada,Graduate school and higher,41,White,Divorced,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Sports, Platformers",Almost everyday,1. Everyday,Visiting with my neighbors
Philippines,Asia,Undergraduate school,42,Asian,"Single, never married",Self-employed,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,"Online social interaction, visiting other peopleâs Island"
American,US/Canada,Undergraduate school,42,White,Divorced,Employed for wages,More than 3 years,"RPG, Simulation, Strategy",Everyday,1. Everyday,Catching bugs
American,US/Canada,High school,43,Hispanic or Latino,Married or domestic partnership,Employed for wages,More than 3 years,RPG,Almost everyday,2. Almost everyday,Terraforming
Icelandic,EU,Graduate school and higher,45,White,Married or domestic partnership,Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Massively Multiplayer Online Games",Everyday,1. Everyday,"All of the above, but also upgrading my house and getting new animals on my island."
British,EU,Graduate school and higher,45,White,"Single, never married",Unable to work,More than 3 years,"Adventure, RPG, Simulation, Puzzle",Everyday,1. Everyday,Talking to residents
British,EU,Secondary school,46,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Almost everyday,1. Everyday,Fishing
United States,US/Canada,Undergraduate school,48,White,Married or domestic partnership,Employed for wages,More than 3 years,Simulation,Everyday,1. Everyday,Planting trees/flowers
British ,EU,Graduate school and higher,48,White,Married or domestic partnership,Employed for wages,More than 3 years,Adventure,Almost everyday,1. Everyday,Chatting with villagers 
American,US/Canada,Undergraduate school,49,White,Widowed,Out of work but not currently looking for work,More than 3 years,"Action, RPG, Simulation",Everyday,1. Everyday,all of the above and visiting others islands too
USA,US/Canada,Undergraduate school,55,White,Married or domestic partnership,Self-employed,More than 3 years,"RPG, Simulation, Puzzle",Everyday,1. Everyday,Talking to villagers
Filipino American ,US/Canada,Undergraduate school,30s,Other,Married or domestic partnership,Self-employed,More than 3 years,"Adventure, RPG, Simulation",Every week,2. Almost everyday,Looking for surprising interaction and rares
Vietnamese,Asia,Undergraduate school,sub 28,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Almost everyday,2. Almost everyday,Shopping and visiting friends' islands
