Nationality,Region,Educacional Level,Age,Ethnicity,Marital Status,Employment Status,How long have you been playing,Most played genre of video games,Amont of hours spent playing,How often do you play animal crossing,Favorite activity in the game
White,EU,High school,21,White,Married or domestic partnership,A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Terraforming
Vietnamese,Asia,High school,21,Asian,"Single, never married",A student,More than 3 years,Adventure,Everyday,1. Everyday,Planting trees/flowers
Italian,EU,Undergraduate school,21,White,Married or domestic partnership,A student,More than 3 years,"RPG, Simulation",Every month,4. Almost every week,Villager hunting 
American ,US/Canada,High school,21,White,"Single, never married",Out of work but not currently looking for work,More than 3 years,"Adventure, RPG",Almost everyday,2. Almost everyday,Decorations 
American ,US/Canada,Undergraduate school,21,White,"Single, never married",Out of work but not currently looking for work,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,1. Everyday,Collecting items
Anerican,US/Canada,High school,21,White,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Catching bugs
American,US/Canada,Undergraduate school,21,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Fishing
American,US/Canada,Undergraduate school,21,White,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,1. Everyday,Terraforming
British,EU,Undergraduate school,21,White,"Single, never married",A student,More than 3 years,"Action, RPG, Simulation",Everyday,1. Everyday,Terraforming
American,US/Canada,Undergraduate school,21,White,"Single, never married",A student,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost every week,1. Everyday,Catching bugs
American,US/Canada,High school,21,Hispanic or Latino,"Single, never married",A student,More than 3 years,"Adventure, RPG, Strategy",Almost everyday,1. Everyday,Fishing
American,US/Canada,Undergraduate school,21,White,"Single, never married",Out of work and looking for work,More than 3 years,Simulation,Everyday,1. Everyday,Terraforming
American,US/Canada,Undergraduate school,21,Asian,"Single, never married",Out of work and looking for work,0-1 years,"Action, Adventure, RPG, Simulation",Almost everyday,1. Everyday,Catching bugs
Cornish,EU,Undergraduate school,21,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Every week,3. Every week,Turnips
U.S.,US/Canada,High school,21,Hispanic or Latino,Married or domestic partnership,A student,More than 3 years,"Action, Adventure, RPG, Simulation",Less than every month,4. Almost every week,Catching bugs
Hispanic ,EU,Undergraduate school,21,Hispanic or Latino,"Single, never married",Out of work but not currently looking for work,More than 3 years,Strategy,Less than every month,1. Everyday,Terraforming
American,US/Canada,High school,21,White,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Stonks
Filipino,Asia,Undergraduate school,21,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,2. Almost everyday,Designing
Filipino,Asia,Graduate school and higher,21,Asian,"Single, never married",Out of work and looking for work,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,buying items from Nooks Cranny and Able Sisters
American,US/Canada,Undergraduate school,21,White,"Single, never married",A student,More than 3 years,"Adventure, RPG",Almost everyday,3. Every week,Interacting with villagers
USA,US/Canada,Undergraduate school,21,White,"Single, never married",Out of work and looking for work,0-1 years,"RPG, Simulation, Strategy",Everyday,1. Everyday,Fishing
Myanmar,Asia,Undergraduate school,21,Asian,"Single, never married",Out of work and looking for work,More than 3 years,"RPG, Simulation",Almost everyday,1. Everyday,Planting trees/flowers
North American,US/Canada,Undergraduate school,21,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Fishing
